pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_1dose,numtotal_1doserange,numtotal_2doses,numtotal_2dosesrange,prop_atleast1dose,prop_1dose,prop_1doserange,prop_2doses,prop_2dosesrange,numweekdelta_atleast1dose,numweekdelta_2doses,propweekdelta_1dose,propweekdelta_2doses
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,75-79,2,2,,0,,0.011431184,0.011431184,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,80+,0,0,,0,,0,0,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,f,0-15,0,0,,na,,0,0,,na,,,,,
24,Quebec,Québec,2020-12-19,f,16-69,3078,3078,,na,,0.104501971,0.104501971,,na,,,,,
24,Quebec,Québec,2020-12-19,f,70-74,26,26,,na,,0.011463238,0.011463238,,na,,,,,
24,Quebec,Québec,2020-12-19,f,75-79,36,36,,na,,0.0216874,0.0216874,,na,,,,,
24,Quebec,Québec,2020-12-19,f,80+,241,241,,na,,0.097780266,0.097780266,,na,,,,,
24,Quebec,Québec,2020-12-19,f,Unknown,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,m,0-15,0,0,,na,,0,0,,na,,,,,
24,Quebec,Québec,2020-12-19,m,16-69,1200,1200,,na,,0.039597779,0.039597779,,na,,,,,
24,Quebec,Québec,2020-12-19,m,70-74,29,29,,na,,0.013602507,0.013602507,,na,,,,,
24,Quebec,Québec,2020-12-19,m,75-79,18,18,,na,,0.012182164,0.012182164,,na,,,,,
24,Quebec,Québec,2020-12-19,m,80+,93,93,,na,,0.057416977,0.057416977,,na,,,,,
24,Quebec,Québec,2020-12-19,m,Unknown,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,0-15,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,16-69,7,7,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,70-74,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,75-79,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,80+,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-19,Unknown,Unknown,0,0,,na,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,f,0-15,0,0,,0,,0,0,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,f,16-69,543,543,,0,,0.119337512,0.119337512,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,f,70-74,28,28,,0,,0.094700172,0.094700172,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,f,75-79,5,5,,0,,0.024761056,0.024761056,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,f,80+,0,0,,0,,0,0,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,m,0-15,0,0,,0,,0,0,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,m,16-69,277,277,,0,,0.059845827,0.059845827,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,m,70-74,29,29,,0,,0.105708245,0.105708245,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,m,75-79,12,12,,0,,0.06616674,0.06616674,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,m,80+,0,0,,0,,0,0,,0,,,,,
46,Manitoba,Manitoba,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
46,Manitoba,Manitoba,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,0-15,0,0,,0,,0,0,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,16-69,833,833,,0,,0.21947563,0.21947563,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,70-74,<5,<5,,0,,<0.1,<0.1,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,75-79,<5,<5,,0,,<0.1,<0.1,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,80+,0,0,,0,,0,0,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,0-15,0,0,,0,,0,0,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,16-69,209,209,,0,,0.052627205,0.052627205,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,70-74,<5,<5,,0,,<0.1,<0.1,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,75-79,<5,<5,,0,,<0.1,<0.1,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,80+,0,0,,0,,0,0,,0,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,f,0-15,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,f,16-69,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,f,70-74,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,f,75-79,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,f,80+,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,m,0-15,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,m,16-69,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,m,70-74,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,m,75-79,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,m,80+,0,0,,0,,0,0,,0,,,,,
60,Yukon,Yukon,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
60,Yukon,Yukon,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,f,0-15,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,f,16-69,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,f,70-74,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,f,75-79,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,f,80+,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,m,0-15,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,m,16-69,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,m,70-74,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,m,75-79,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,m,80+,0,0,,0,,0,0,,0,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,f,0-15,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,f,16-69,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,f,70-74,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,f,75-79,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,f,80+,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,m,0-15,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,m,16-69,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,m,70-74,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,m,75-79,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,m,80+,0,0,,0,,0,0,,0,,,,,
62,Nunavut,Nunavut,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
62,Nunavut,Nunavut,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,f,0-15,5,5,,0,,0.000316297,0.000316297,,0,,,,,
1,Canada,Canada,2020-12-26,f,16-69,20493,20493,,0,,0.326758461,0.326758461,,0,,,,,
1,Canada,Canada,2020-12-26,f,70-74,253,253,,0,,0.057590836,0.057590836,,0,,,,,
1,Canada,Canada,2020-12-26,f,75-79,233,233,,0,,0.075547313,0.075547313,,0,,,,,
1,Canada,Canada,2020-12-26,f,80+,1177,1177,,0,,0.254043764,0.254043764,,0,,,,,
1,Canada,Canada,2020-12-26,f,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,m,0-15,0,0,,0,,0,0,,0,,,,,
1,Canada,Canada,2020-12-26,m,16-69,6824,6824,,0,,0.106365866,0.106365866,,0,,,,,
1,Canada,Canada,2020-12-26,m,70-74,222,222,,0,,0.053939398,0.053939398,,0,,,,,
1,Canada,Canada,2020-12-26,m,75-79,170,170,,0,,0.061931911,0.061931911,,0,,,,,
1,Canada,Canada,2020-12-26,m,80+,563,563,,0,,0.182683072,0.182683072,,0,,,,,
1,Canada,Canada,2020-12-26,m,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,Not reported,Not reported,2606,2606,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,Unknown,16-69,44,44,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,Unknown,80+,3,3,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-26,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,f,0-15,0,0,,0,,0,0,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,f,16-69,1335,1335,,0,,0.735035017,0.735035017,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,f,70-74,2,2,,0,,0.011768167,0.011768167,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,f,75-79,0,0,,0,,0,0,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,f,80+,0,0,,0,,0,0,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,f,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,m,0-15,0,0,,0,,0,0,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,m,16-69,429,429,,0,,0.240770465,0.240770465,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,m,70-74,8,8,,0,,0.049431537,0.049431537,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,m,75-79,4,4,,0,,0.040489928,0.040489928,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,m,80+,1,1,,0,,0.01045697,0.01045697,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,m,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,16-69,6,6,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,80+,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,f,0-15,0,0,,0,,0,0,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,f,16-69,886,886,,0,,1.627958254,1.627958254,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,f,70-74,<5,<5,,0,,<0.1,<0.1,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,f,75-79,0,0,,0,,0,0,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,f,80+,0,0,,0,,0,0,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,f,Unknown,6,6,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,m,0-15,0,0,,0,,0,0,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,m,16-69,247,247,,0,,0.461389024,0.461389024,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,m,70-74,<5,<5,,0,,<0.1,<0.1,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,m,75-79,0,0,,0,,0,0,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,m,80+,0,0,,0,,0,0,,0,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,m,Unknown,<5,<5,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,16-69,7,7,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,80+,0,0,,0,,na,na,,na,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,Unknown,<5,<5,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,f,0-15,0,0,,0,,0,0,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,f,16-69,1556,1556,,0,,0.456960274,0.456960274,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,f,70-74,10,10,,0,,0.033566058,0.033566058,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,f,75-79,5,5,,0,,0.024705999,0.024705999,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,f,80+,3,3,,0,,0.010538148,0.010538148,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,f,Unknown,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,m,0-15,0,0,,0,,0,0,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,m,16-69,635,635,,0,,0.192000097,0.192000097,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,m,70-74,5,5,,0,,0.018111349,0.018111349,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,m,75-79,2,2,,0,,0.011431184,0.011431184,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,m,80+,2,2,,0,,0.010782834,0.010782834,,0,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,m,Unknown,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,16-69,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,80+,0,0,,0,,na,na,,na,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-12-26,Not reported,Not reported,2606,na,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-26,f,0-15,5,5,,na,,0.000711218,0.000711218,,na,,,,,
24,Quebec,Québec,2020-12-26,f,16-69,11181,11181,,na,,0.379609011,0.379609011,,na,,,,,
24,Quebec,Québec,2020-12-26,f,70-74,174,174,,na,,0.076715518,0.076715518,,na,,,,,
24,Quebec,Québec,2020-12-26,f,75-79,219,219,,na,,0.131931685,0.131931685,,na,,,,,
24,Quebec,Québec,2020-12-26,f,80+,1172,1172,,na,,0.475512332,0.475512332,,na,,,,,
24,Quebec,Québec,2020-12-26,f,Unknown,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-26,m,0-15,<5,<5,,na,,<0.1,<0.1,,na,,,,,
24,Quebec,Québec,2020-12-26,m,16-69,3589,3589,,na,,0.118430357,0.118430357,,na,,,,,
24,Quebec,Québec,2020-12-26,m,70-74,162,162,,na,,0.075986416,0.075986416,,na,,,,,
24,Quebec,Québec,2020-12-26,m,75-79,144,144,,na,,0.097457312,0.097457312,,na,,,,,
24,Quebec,Québec,2020-12-26,m,80+,559,559,,na,,0.345119248,0.345119248,,na,,,,,
24,Quebec,Québec,2020-12-26,m,Unknown,0,0,,na,,na,na,,na,,,,,
24,Quebec,Québec,2020-12-26,Unknown,0-15,0,0,,na,,na,na,,na,,,,,
